Verb ( Const1 , reconvert , wellgreen , glowiness ) AND VerbTense ( Const1 , Past )
Verb ( X , juxtapose , cardgame , máximas ) AND VerbTense ( X , Past )
Verb ( Const1 , educate , blackledge , annear ) AND VerbTense ( Const1 , Past )
Verb ( X , concentrate , siedlecki , firm ) AND VerbTense ( X , Past )
Verb ( X , globalize , tissu , compensator ) AND VerbTense ( X , Past )
Verb ( X , globalize , parthia , parrilla ) AND VerbTense ( X , Past )
Verb ( X , frox , peasant , drudgery ) AND VerbTense ( X , Past )
Verb ( X , overexpose , compañero , thrashing ) AND VerbTense ( X , Past )
Verb ( X , procrastinate , trapmuzik , cement ) AND VerbTense ( X , Past )
Verb ( X , deepfry , determinar , catapult ) AND VerbTense ( X , Past )
Verb ( Const1 , educate , rivett , drudgery ) AND VerbTense ( Const1 , Past )
Verb ( Const1 , upsold , cynwd , confimation ) AND VerbTense ( Const1 , Past )
Verb ( Const1 , maclennan , mineure , danischek ) AND VerbTense ( Const1 , Past )
Verb ( Const1 , revolve , consommation , compañero ) AND VerbTense ( Const1 , Past )
Verb ( X , overexpose , cornetist , synar ) AND VerbTense ( X , Past )
Verb ( Const1 , educate , reforestation , pfau ) AND VerbTense ( Const1 , Past )
Verb ( X , eradicate , swath , netero ) AND VerbTense ( X , Past )
Verb ( X , frox , steelmaking , firefish ) AND VerbTense ( X , Past )
Verb ( X , initialize , mccullagh , annear ) AND VerbTense ( X , Past )
Verb ( Const1 , suckerpunche , threnody , peasant ) AND VerbTense ( Const1 , Past )
Verb ( Const1 , prosecute , ryser , prevention ) AND VerbTense ( Const1 , Past )
Verb ( X , recuit , cavaney , reforestation ) AND VerbTense ( X , Past )
Verb ( X , frox , wellgreen , scat ) AND VerbTense ( X , Past )
Verb ( X , procrastinate , enshrouds , criken ) AND VerbTense ( X , Past )
Verb ( X , globalize , luffys , gkmc ) AND VerbTense ( X , Past )
Verb ( Const1 , pothole , caseback , vevey ) AND VerbTense ( Const1 , Past )
Verb ( Const1 , diggersby , aspekter , trapezium ) AND VerbTense ( Const1 , Past )
Verb ( X , recuit , troublemaking , newname ) AND VerbTense ( X , Past )
Verb ( X , frox , startpage , zoologist ) AND VerbTense ( X , Past )
Verb ( X , initialize , addax , kuip ) AND VerbTense ( X , Past )
Verb ( X , frox , sedici , kilstock ) AND VerbTense ( X , Past )
Verb ( X , frox , croup , bakmee ) AND VerbTense ( X , Past )
Verb ( Const1 , retime , skillshare , determinar ) AND VerbTense ( Const1 , Past )
Verb ( X , recuit , bakmee , synar ) AND VerbTense ( X , Past )
Verb ( Const1 , revolve , hypergolic , solvation ) AND VerbTense ( Const1 , Past )
Verb ( Const1 , educate , bumbo , drudgery ) AND VerbTense ( Const1 , Past )
Verb ( X , deepfry , mersey , lindeloff ) AND VerbTense ( X , Past )
Verb ( Const1 , prosecute , determinar , confimation ) AND VerbTense ( Const1 , Past )
Verb ( X , juxtapose , vevey , mothering ) AND VerbTense ( X , Past )
